company_name,ticker,rating_date,rating_numerical_score,currentRatio,quickRatio,cashRatio,debtRatio,debtEquityRatio,GDP,INTEREST_RATE,INFLATION,volatility,momentum,sentiment_proxy
3M,MMM,2022-01-31,17,1.704814609850581,1.033093525179856,0.5051466519092418,0.3889785859959211,1.2169347334839824,21903.85,0.08,282.542,0.0123698771893836,-0.0802271819334403,0
3M,MMM,2022-05-10,17,1.704814609850581,1.033093525179856,0.5051466519092418,0.3889785859959211,1.2169347334839824,21919.222,0.83,291.299,0.0163568494309507,-0.0799225239459202,0
3M,MMM,2022-08-24,17,1.704814609850581,1.033093525179856,0.5051466519092418,0.3889785859959211,1.2169347334839824,22066.784,2.33,295.162,0.014897336146372,-0.03096154432713,0
3M,MMM,2022-10-28,17,1.704814609850581,1.033093525179856,0.5051466519092418,0.3889785859959211,1.2169347334839824,22249.459,3.08,297.979,0.0222368276747552,-0.1078459188111723,0
3M,MMM,2023-03-21,17,1.5423711015436312,0.8705239945395359,0.3838076236480101,0.3628242385103864,1.1448852058144274,22403.435,4.58,301.643,0.0178462742165615,-0.1440885737370071,0
3M,MMM,2023-06-23,16,1.5423711015436312,0.8705239945395359,0.3838076236480101,0.3628242385103864,1.1448852058144274,22539.418,5.07,304.099,0.0187218040731858,0.0074982609913947,-1
3M,MMM,2023-06-27,17,1.5423711015436312,0.8705239945395359,0.3838076236480101,0.3628242385103864,1.1448852058144274,22539.418,5.07,304.099,0.0188349703639005,-0.0333014130688196,1
8X8,EGHT,2022-05-23,1,1.4390764748573308,0.7758958266980635,0.4761991781837548,0.5904360034627165,2.947122818946514,21919.222,0.83,291.299,0.0378018056837892,-0.3875099891468959,0
8X8,EGHT,2022-09-01,1,1.4390764748573308,0.7758958266980635,0.4761991781837548,0.5904360034627165,2.947122818946514,22066.784,2.33,296.421,0.0626225411049438,-0.3393351634986824,0
8X8,EGHT,2022-11-07,1,1.4390764748573308,0.7758958266980635,0.4761991781837548,0.5904360034627165,2.947122818946514,22249.459,3.83,298.708,0.0577944796730173,-0.1058315844155202,0
8X8,EGHT,2023-03-31,2,1.4390764748573308,0.7758958266980635,0.4761991781837548,0.5904360034627165,2.947122818946514,22403.435,4.83,301.643,0.0563074338505628,-0.0391705231145156,1
A&R LOGISTICS HOLDINGS,ULH,2022-02-11,11,1.3453242471435105,1.2230380321640886,0.0445526032189671,0.4728811041142303,1.779881539326958,21903.85,0.08,284.525,0.0231169439772504,-0.1411876318859013,0
A&R LOGISTICS HOLDINGS,ULH,2022-04-27,11,1.3453242471435105,1.2230380321640886,0.0445526032189671,0.4728811041142303,1.779881539326958,21919.222,0.33,288.582,0.0257953235899494,0.1998685418368,0
A&R LOGISTICS HOLDINGS,ULH,2022-04-28,11,1.3453242471435105,1.2230380321640886,0.0445526032189671,0.4728811041142303,1.779881539326958,21919.222,0.33,288.582,0.0267849676524863,0.2540456491762828,0
A&R LOGISTICS HOLDINGS,ULH,2022-05-03,11,1.3453242471435105,1.2230380321640886,0.0445526032189671,0.4728811041142303,1.779881539326958,21919.222,0.33,291.299,0.0267888579719715,0.183948462570298,0
A&R LOGISTICS HOLDINGS,ULH,2022-09-13,11,1.3453242471435105,1.2230380321640886,0.0445526032189671,0.4728811041142303,1.779881539326958,22066.784,2.33,296.421,0.0322565201711231,0.2245022879355707,0
A&R LOGISTICS HOLDINGS,ULH,2022-09-15,11,1.3453242471435105,1.2230380321640886,0.0445526032189671,0.4728811041142303,1.779881539326958,22066.784,2.33,296.421,0.0314732182633984,0.2800019783554046,0
A&R LOGISTICS HOLDINGS,ULH,2022-09-16,11,1.3453242471435105,1.2230380321640886,0.0445526032189671,0.4728811041142303,1.779881539326958,22066.784,2.33,296.421,0.0319423884434653,0.1972792773535314,0
A&R LOGISTICS HOLDINGS,ULH,2022-10-21,11,1.3453242471435105,1.2230380321640886,0.0445526032189671,0.4728811041142303,1.779881539326958,22249.459,3.08,297.979,0.0292497471081133,0.2432745881313778,0
A&R LOGISTICS HOLDINGS,ULH,2023-01-20,11,1.6021275631663885,1.4779418684493957,0.164450455035012,0.4023725614325426,1.0836752959076366,22403.435,4.33,300.456,0.0295042118724775,0.0132256774306849,0
A&R LOGISTICS HOLDINGS,ULH,2023-08-24,11,1.6021275631663885,1.4779418684493957,0.164450455035012,0.4023725614325426,1.0836752959076366,22780.933,5.33,306.138,0.0228297706836235,-0.0151501192523395,0
A&R LOGISTICS HOLDINGS,ULH,2023-09-14,11,1.6021275631663885,1.4779418684493957,0.164450455035012,0.4023725614325426,1.0836752959076366,22780.933,5.33,307.374,0.0183490032806583,-0.0939409572168861,0
A-MARK PRECIOUS METALS,AMRK,2021-09-20,7,1.3588604606918129,0.6456097578161883,0.1429074740869663,0.4066597235101936,1.3362858947171028,21571.421,0.08,273.942,0.0256555639334849,0.1489911448875736,0
A-MARK PRECIOUS METALS,AMRK,2021-10-01,9,1.3588604606918129,0.6456097578161883,0.1429074740869663,0.4066597235101936,1.3362858947171028,21960.388,0.08,276.528,0.0257864851363987,0.389949255501663,1
A-MARK PRECIOUS METALS,AMRK,2022-01-14,10,1.3588604606918129,0.6456097578161883,0.1429074740869663,0.4066597235101936,1.3362858947171028,21903.85,0.08,282.542,0.0272709925454883,-0.1422108189606828,1
A-MARK PRECIOUS METALS,AMRK,2022-03-17,13,1.3588604606918129,0.6456097578161883,0.1429074740869663,0.4066597235101936,1.3362858947171028,21903.85,0.33,287.467,0.0274722509228396,0.2553155266805689,1
A-MARK PRECIOUS METALS,AMRK,2022-06-01,13,1.3588604606918129,0.6456097578161883,0.1429074740869663,0.4066597235101936,1.3362858947171028,21919.222,0.83,295.072,0.0382413612282347,-0.06043465431191,0
A-MARK PRECIOUS METALS,AMRK,2022-09-02,13,1.411587898199549,0.4073045826934454,0.0451552761627038,0.4101759320809699,1.2110787971568269,22066.784,2.33,296.421,0.0393930184004674,-0.1617861506400775,0
A-MARK PRECIOUS METALS,AMRK,2022-11-21,13,1.411587898199549,0.4073045826934454,0.0451552761627038,0.4101759320809699,1.2110787971568269,22249.459,3.83,298.708,0.0389087853892963,0.0107165757096183,0
A-MARK PRECIOUS METALS,AMRK,2023-04-18,13,1.411587898199549,0.4073045826934454,0.0451552761627038,0.4101759320809699,1.2110787971568269,22539.418,4.83,302.858,0.0264574746111753,-0.0292474194346369,0
A. O. SMITH,AOS,2022-02-07,18,1.5664998212370398,0.963264211655345,0.3962281015373614,0.0630324660373014,0.1195284357602881,21903.85,0.08,284.525,0.0148870834734449,-0.0581419327961919,0
A. O. SMITH,AOS,2022-05-13,18,1.5664998212370398,0.963264211655345,0.3962281015373614,0.0630324660373014,0.1195284357602881,21919.222,0.83,291.299,0.0201779424176399,-0.1537501928597523,0
A. O. SMITH,AOS,2022-08-19,18,1.5664998212370398,0.963264211655345,0.3962281015373614,0.0630324660373014,0.1195284357602881,22066.784,2.33,295.162,0.0200381987354809,0.0779683947199063,0
A. O. SMITH,AOS,2022-11-14,18,1.5664998212370398,0.963264211655345,0.3962281015373614,0.0630324660373014,0.1195284357602881,22249.459,3.83,298.708,0.0227434831779296,-0.0695479408592233,0
A. O. SMITH,AOS,2023-04-05,18,1.748769000214087,1.0408906015842432,0.4187540141297367,0.1101041322810071,0.2099330548721176,22539.418,4.83,302.858,0.025276559411999,0.0935118345505292,0
A. O. SMITH,AOS,2023-07-14,18,1.748769000214087,1.0408906015842432,0.4187540141297367,0.1101041322810071,0.2099330548721176,22780.933,5.08,304.615,0.0148698730934904,0.1061445624019925,0
AAR,AIR,2022-08-09,12,2.892590465249856,0.9796094198736358,0.1536473291211947,0.0993074528241946,0.151087481875302,22066.784,2.33,295.162,0.0255184609457375,0.0013189174847216,0
AAR,AIR,2022-08-19,12,2.892590465249856,0.9796094198736358,0.1536473291211947,0.0993074528241946,0.151087481875302,22066.784,2.33,295.162,0.0247684826573728,-0.0012875012995348,0
AAR,AIR,2022-10-20,13,2.892590465249856,0.9796094198736358,0.1536473291211947,0.0993074528241946,0.151087481875302,22249.459,3.08,297.979,0.0213663300727823,0.0079825354412041,1
AAR,AIR,2022-12-27,13,2.892590465249856,0.9796094198736358,0.1536473291211947,0.0993074528241946,0.151087481875302,22249.459,4.33,298.808,0.0202859577384359,0.2335747113595148,0
AAR,AIR,2023-05-26,13,2.892590465249856,0.9796094198736358,0.1536473291211947,0.0993074528241946,0.151087481875302,22539.418,5.08,303.316,0.0178422242931569,-0.0489892302710643,0
